,Hotel_Name,Reviewer_Nationality,Review_Date,Reviewer_Score
334530,The Cumberland A Guoman Hotel, United Kingdom ,12/20/2015,7.9
70054,Millennium Hotel London Knightsbridge, Gibraltar ,12/3/2016,6.3
255810,Best Western Plus Seraphine Hammersmith Hotel, China ,10/7/2016,9.2
304419,Carlyle Brera Hotel, United Kingdom ,6/28/2016,9.6
165424,Strand Palace Hotel, United Kingdom ,3/11/2016,8.0
321471,DoubleTree By Hilton London Excel, United Kingdom ,5/8/2017,7.9
117283,H tel Aiglon Esprit de France, United Kingdom ,7/13/2016,8.3
179879,H tel Concorde Montparnasse, Australia ,10/12/2015,10.0
21533,Novotel London Tower Bridge, United Kingdom ,8/11/2015,7.9
63091,H tel California Champs Elys es, Nigeria ,1/5/2016,10.0
263771,Holiday Inn London Kensington Forum, United States of America ,1/26/2016,9.2
502062,Hotel Kaiserin Elisabeth, Kuwait ,1/3/2017,9.2
191366,Millennium Hotel London Mayfair, Kuwait ,2/20/2016,5.4
187,Hotel Arena, Ireland ,12/31/2015,4.2
141351,Blakemore Hyde Park, United Kingdom ,7/7/2016,9.5
257333,88 Studios, United Kingdom ,5/31/2016,10.0
383782,DoubleTree by Hilton Hotel Amsterdam NDSM Wharf, Netherlands ,9/26/2016,9.2
111939,Hilton London Metropole, United Kingdom ,7/27/2017,6.3
388603,Apex City Of London Hotel, United Kingdom ,8/4/2016,10.0
297891,Ayre Hotel Caspe, United Kingdom ,8/2/2017,9.6
98995,Twenty Nevern Square Hotel, United Kingdom ,10/21/2016,7.5
185756,Shaftesbury Suites London Marble Arch, United Kingdom ,9/15/2016,5.8
462334,NH Amsterdam Centre, United Kingdom ,2/16/2016,10.0
433633,Catalonia Square 4 Sup, Switzerland ,8/29/2015,8.3
472014,Camperio House Suites Apartments, Russia ,9/26/2016,10.0
367058,NH Collection Milano President, Brunei ,2/13/2017,10.0
248553,Club Quarters Hotel Trafalgar Square, United Kingdom ,2/21/2016,10.0
433811,H10 Universitat, United States of America ,11/11/2016,7.9
290903,Amba Hotel Marble Arch, Saudi Arabia ,11/19/2016,8.8
173199,Millennium Gloucester Hotel London, United Kingdom ,12/6/2016,9.2
139412,Holiday Inn London Camden Lock, United Kingdom ,8/25/2016,10.0
499039,Vilana Hotel, Switzerland ,8/4/2016,7.1
164356,Strand Palace Hotel, United Kingdom ,6/20/2017,9.2
312205,Best Western Premier Hotel Couture, Australia ,1/1/2017,7.5
493070,Klima Hotel Milano Fiere, Saudi Arabia ,9/4/2015,7.5
462344,NH Amsterdam Centre, United Kingdom ,11/24/2015,6.7
53971,The Goring, Spain ,6/28/2016,9.2
141788,Blakemore Hyde Park, United Kingdom ,7/16/2017,10.0
30279,Hilton Paris Opera, United Kingdom ,12/23/2016,7.5
84749,Royal Garden Hotel, Russia ,2/6/2017,9.6
2135,The Park Grand London Paddington, United Kingdom ,3/12/2017,6.7
208640,The Montcalm At Brewery London City, United Kingdom ,6/8/2017,5.8
267905,Corendon Vitality Hotel Amsterdam, United Kingdom ,3/8/2016,9.6
347182,Amadi Panorama Hotel, Belgium ,9/3/2015,9.6
57143,DoubleTree by Hilton London Hyde Park, United Kingdom ,10/22/2015,9.6
24956,Doubletree by Hilton London Kensington, Turkey ,9/27/2015,9.2
85714,Hilton London Bankside, United Kingdom ,5/15/2016,9.6
244634,Shaftesbury Metropolis London Hyde Park, United Kingdom ,3/10/2017,7.1
124808,DoubleTree by Hilton London Docklands Riverside, United Kingdom ,5/7/2017,7.5
141343,Blakemore Hyde Park, Malaysia ,7/12/2016,6.3
96083,The Hari London, United Kingdom ,5/24/2017,8.8
410257,NYX Milan, United States of America ,5/1/2017,8.3
364704,London Elizabeth Hotel, United Kingdom ,12/2/2016,7.9
131232,Bloomsbury Palace Hotel, United Kingdom ,5/8/2016,6.7
233544,H tel Bel Ami, Israel ,8/4/2015,10.0
219450,citizenM London Shoreditch, United Kingdom ,1/29/2017,10.0
112219,Hilton London Metropole, United Kingdom ,1/27/2017,6.7
91450,The Trafalgar Hilton, United Kingdom ,4/26/2016,6.7
38235,Batty Langley s, Singapore ,6/7/2016,10.0
174386,Novotel Suites Paris Expo Porte de Versailles, Poland ,12/13/2016,9.6
16674,Intercontinental London The O2, United Kingdom ,11/4/2016,9.6
260653,Holiday Inn Paris Saint Germain des Pr s, Lebanon ,2/1/2017,4.2
71503,Novotel Paris Centre Gare Montparnasse, United Kingdom ,10/13/2015,6.3
287112,Hotel Alimara, United Kingdom ,6/30/2016,6.7
383312,Mercure Amsterdam Sloterdijk Station, Turkey ,3/24/2017,7.5
19775,Grange St Paul s Hotel, Saudi Arabia ,9/14/2016,5.4
442095,Copthorne Tara Hotel London Kensington, United Kingdom ,2/9/2016,7.1
82090,Pullman Paris Montparnasse, Switzerland ,7/6/2016,4.2
370286,Ilunion Bel Art, Netherlands ,5/2/2017,7.5
391449,DoubleTree by Hilton Amsterdam Centraal Station, Germany ,4/29/2016,5.8
325959,IH Hotels Milano Ambasciatori, Israel ,6/27/2016,7.1
142478,Blakemore Hyde Park, United Kingdom ,5/27/2016,9.6
105242,Mercure Paris Terminus Nord, India ,11/2/2016,8.3
192675,St Martins Lane A Morgans Original, Switzerland ,11/3/2015,9.6
286438,Hotel Regina, United Kingdom ,9/9/2015,8.8
64803,Britannia International Hotel Canary Wharf, United Kingdom ,10/11/2016,8.3
43408,H tel Westminster, Netherlands ,12/17/2015,10.0
463147,The Savoy, Saudi Arabia ,1/2/2017,10.0
142564,Blakemore Hyde Park, Cyprus ,4/4/2016,9.6
30212,Hilton Paris Opera, Denmark ,7/28/2017,9.2
88537,St Ermin s Hotel Autograph Collection, Singapore ,7/27/2016,9.6
394487,Hotel Spa Villa Olimpica Suites, Poland ,3/10/2017,10.0
466638,Hotel Das Tigra, Singapore ,7/23/2017,9.6
344307,Hilton London Kensington Hotel, United Kingdom ,1/2/2017,8.3
132540,Grand Pigalle Hotel, United States of America ,10/12/2015,9.2
117620,Park Plaza Victoria London, Switzerland ,2/23/2017,8.3
329059,Sunotel Central, United Kingdom ,8/15/2016,9.6
32450,Shepherd s Bush Boutique Hotel, United Kingdom ,2/7/2017,7.1
348340,DoubleTree by Hilton London Chelsea, United Kingdom ,6/25/2017,8.3
271744,Apollo Hotel Amsterdam, United Kingdom ,8/7/2016,5.4
228556,The Piccadilly London West End, United Kingdom ,4/30/2017,9.2
495563,Hotel Lombardia, Poland ,10/6/2015,5.4
31171,Holiday Inn London Stratford City, United Kingdom ,2/4/2017,10.0
416721,Barcel Sants, United Kingdom ,7/12/2016,7.5
105134,Mercure Paris Terminus Nord, Indonesia ,2/1/2017,8.8
446878,Hotel de France Wien, United Kingdom ,12/31/2015,9.2
79145,Courthouse Hotel London, United Kingdom ,3/6/2017,7.0
246535,Auteuil Tour Eiffel, United Kingdom ,7/14/2016,5.8
96525,citizenM London Bankside, United Kingdom ,8/2/2016,10.0
309069,Swiss tel Amsterdam, Italy ,3/24/2017,9.6
71847,Novotel London Greenwich, United Kingdom ,8/23/2015,10.0
101042,Mondrian London, United Kingdom ,1/1/2016,7.5
357453,De Vere Devonport House, United Kingdom ,7/28/2016,10.0
335078,Hotel Vienna, United Kingdom ,1/11/2016,10.0
369137,Hampshire Hotel Amsterdam American, United States of America ,4/6/2017,8.8
501929,Austria Trend Hotel Anatol Wien, United Kingdom ,5/22/2016,9.2
199978,Novotel London Wembley, United Kingdom ,1/15/2017,9.2
255279,La Clef Tour Eiffel, Lebanon ,11/19/2015,8.3
258672,Radisson Blu Edwardian Bloomsbury Street, United Kingdom ,10/2/2016,9.2
191217,Millennium Hotel London Mayfair, United Kingdom ,7/12/2016,9.2
263514,Holiday Inn London Kensington Forum, Malaysia ,7/27/2016,7.5
347379,Room Mate Aitana, Spain ,7/24/2016,8.8
306438,NH Collection Amsterdam Grand Hotel Krasnapolsky, United Kingdom ,2/13/2017,6.7
369741,Hampshire Hotel Amsterdam American, United Kingdom ,3/8/2017,9.6
300677,Grange City Hotel, United Kingdom ,1/17/2016,7.9
26169,Staybridge Suites London Vauxhall, Switzerland ,1/31/2016,9.2
92144,Park Lane Mews Hotel, United Kingdom ,2/12/2017,6.3
353836,Austria Trend Hotel Astoria Wien, Czech Republic ,7/17/2016,8.3
491514,Ramada Plaza Milano, Romania ,6/28/2016,2.5
225453,Best Western Plus 61 Paris Nation Hotel, Canada ,10/14/2015,7.5
297641,Ayre Hotel Caspe, United Kingdom ,8/2/2017,8.8
369195,Hampshire Hotel Amsterdam American, Australia ,2/7/2017,8.8
274162,Urban Lodge Hotel, Canada ,10/26/2016,9.6
358899,Small Luxury Hotel Altstadt Vienna, United States of America ,7/4/2017,10.0
196895,Holiday Inn London Whitechapel, United Kingdom ,12/24/2016,9.6
401483,K K Hotel Picasso, Croatia ,11/3/2016,7.1
451486,Hotel Esther a, Australia ,7/31/2016,8.3
67396,Britannia International Hotel Canary Wharf, United Kingdom ,7/30/2016,7.5
288044,The Westbury A Luxury Collection Hotel Mayfair London, Ireland ,6/5/2017,10.0
6270,Park Plaza County Hall London, United Kingdom ,7/11/2017,9.6
279155,Catalonia Atenas, United Kingdom ,12/6/2016,6.3
412914,W Barcelona, Nigeria ,8/21/2016,7.9
352614,Hollmann Beletage Design Boutique, United Kingdom ,12/15/2015,9.6
194598,The Whitechapel, United Kingdom ,3/6/2016,2.5
480953,Hilton Garden Inn Milan North, Iran ,6/13/2016,9.2
213416,Shaftesbury Premier London Paddington, Abkhazia Georgia ,4/16/2016,8.3
268609,Hilton Vienna, United States of America ,3/15/2017,4.6
377213,IntercityHotel Wien, Kosovo ,7/24/2016,8.3
312703,Best Western Premier Hotel Couture, United Kingdom ,10/24/2015,10.0
36759,The Athenaeum, United Arab Emirates ,1/7/2017,9.6
331761,Catalonia Passeig de Gr cia 4 Sup, United States of America ,6/16/2016,10.0
137176,Hotel Montalembert, Belgium ,11/23/2016,9.6
48444,Park Grand London Lancaster Gate, Canada ,11/29/2015,6.7
239164,DoubleTree by Hilton Hotel London Tower of London, United Kingdom ,9/13/2015,8.3
266901,The Waldorf Hilton, United Kingdom ,8/23/2016,9.6
266041,Sir Albert Hotel, Belgium ,11/21/2016,7.1
399334,Eurostars Bcn Design, Iran ,12/7/2016,6.7
443664,Copthorne Tara Hotel London Kensington, Isle of Man ,5/19/2016,10.0
344839,Hilton London Kensington Hotel, Greece ,8/30/2015,7.1
201664,Warwick Paris Former Warwick Champs Elysees , United Arab Emirates ,8/9/2015,7.5
302344,Worldhotel Cristoforo Colombo, Australia ,6/15/2017,10.0
183786,St James Court A Taj Hotel London, United Kingdom ,10/25/2015,10.0
330589,Avenida Palace, Canada ,9/2/2016,10.0
448024,Hotel Am Schubertring, Australia ,7/1/2017,10.0
329312,Silken Gran Hotel Havana, United Kingdom ,2/14/2016,9.6
402370,Catalonia Ramblas 4 Sup, United Kingdom ,7/20/2017,8.3
226975,Best Western Palm Hotel, United Kingdom ,6/3/2017,10.0
465269,Hotel Stefanie, Portugal ,8/25/2015,8.3
121805,Hotel Plaza Athenee Paris, United Kingdom ,9/24/2016,8.8
157119,Norfolk Towers Paddington, Bahrain ,10/29/2015,9.6
246442,The Exhibitionist Hotel, United Kingdom ,10/30/2015,8.8
43328,H tel Westminster, Australia ,1/20/2017,8.8
128454,Park Grand Paddington Court, United Kingdom ,12/12/2016,7.9
137890,South Place Hotel, United Arab Emirates ,8/1/2017,9.2
384209,Hotel V Nesplein, United Kingdom ,1/6/2016,9.6
217845,New Linden Hotel, Sweden ,3/31/2016,9.2
37332,Park International Hotel, United Kingdom ,8/27/2015,9.6
119612,Club Quarters Hotel St Paul s, United Kingdom ,8/28/2016,10.0
50453,The Bailey s Hotel London, United Kingdom ,3/21/2016,10.0
167631,Strand Palace Hotel, United Kingdom ,3/17/2016,7.5
426612,Catalonia Born, United Kingdom ,4/13/2017,10.0
473566,Andreola Central Hotel, Montenegro ,3/22/2017,10.0
452787,Best Western Plus Hotel Blue Square, United Kingdom ,12/14/2016,7.9
357536,De Vere Devonport House, United Kingdom ,4/19/2016,9.2
432696,Petit Palace Barcelona, Saudi Arabia ,1/7/2017,6.7
422207,citizenM Amsterdam, Turkey ,6/18/2017,7.9
510105,The Student Hotel Amsterdam City, United Kingdom ,5/23/2017,9.2
156614,Norfolk Towers Paddington, United Kingdom ,1/19/2017,8.3
88176,DoubleTree by Hilton London Victoria, Switzerland ,11/10/2015,9.6
281440,Hotel SB Icaria Barcelona, United Kingdom ,4/18/2017,10.0
444343,Copthorne Tara Hotel London Kensington, United Kingdom ,10/18/2015,4.6
4700,The Principal London, United Kingdom ,3/4/2016,9.2
328762,Sunotel Central, United Kingdom ,7/25/2016,9.6
182188,citizenM Tower of London, Norway ,8/15/2016,8.8
139562,Holiday Inn London Camden Lock, United Kingdom ,12/22/2015,7.9
214999,Mimi s Hotel Soho, Belgium ,5/20/2017,7.5
126664,DoubleTree by Hilton London Docklands Riverside, United Kingdom ,11/24/2015,9.6
300834,Grange City Hotel, United Kingdom ,6/20/2016,9.2
314700,NH Amsterdam Noord, Germany ,1/4/2017,6.7
424213,NH Collection Barcelona Gran Hotel Calder n, United Kingdom ,4/24/2016,10.0
357522,De Vere Devonport House, United Kingdom ,5/8/2016,8.3
394912,Sall s Hotel Pere IV, United Kingdom ,1/4/2016,5.0
15545,Intercontinental London The O2, United Kingdom ,6/28/2016,8.8
273983,Urban Lodge Hotel, Singapore ,4/25/2017,7.1
176043,DoubleTree by Hilton Hotel London Marble Arch, Lithuania ,8/18/2015,7.5
41132,Ambassadors Bloomsbury, United Kingdom ,5/29/2017,6.7
228199,The Piccadilly London West End, United Kingdom ,11/28/2016,10.0
17342,Intercontinental London The O2, United Kingdom ,3/1/2016,10.0
434696,Gallery Hotel, France ,9/28/2015,7.1
99908,Mercure Paris Centre Tour Eiffel, Zambia ,7/31/2017,8.3
358491,K K Hotel Maria Theresia, United Kingdom ,5/3/2016,7.9
361188,Eurostars Ramblas, United Kingdom ,8/9/2015,7.9
476578,Windsor Hotel Milano, United Kingdom ,3/22/2016,9.2
158636,The Chesterfield Mayfair, United Kingdom ,10/25/2015,8.8
86524,DoubleTree by Hilton London Ealing, United Kingdom ,6/22/2016,9.2
306594,NH Collection Amsterdam Grand Hotel Krasnapolsky, France ,11/4/2016,6.7
351415,Mercure Josefshof Wien, United Kingdom ,3/7/2016,7.5
201025,Novotel London Wembley, United Kingdom ,11/8/2015,10.0
40713,Hotel Louvre Montana, Ukraine ,4/7/2017,7.9
35932,Ashburn Hotel, United Kingdom ,4/25/2017,7.5
352911,The Ring Vienna s Casual Luxury Hotel, Canada ,6/22/2017,8.8
167030,Strand Palace Hotel, Spain ,8/19/2016,10.0
389948,Aloft London Excel, Ireland ,3/19/2017,8.3
446873,Hotel de France Wien, Israel ,1/10/2016,6.3
475902,Idea Hotel Milano San Siro, Israel ,9/28/2016,2.5
185602,41, Australia ,6/18/2017,10.0
53852,Charlotte Street Hotel, United States of America ,7/30/2016,10.0
294798,Holiday Inn London Regent s Park, United Kingdom ,10/6/2015,5.4
129416,The Zetter Townhouse Marylebone, United States of America ,8/10/2016,10.0
41314,Ambassadors Bloomsbury, United Kingdom ,7/21/2016,3.3
210234,BEST WESTERN Maitrise Hotel Maida Vale, United Kingdom ,12/1/2015,4.6
497540,NH Carlton Amsterdam, United Kingdom ,7/1/2017,6.7
437937,Radisson Blu Hotel Amsterdam, Finland ,10/19/2016,8.8
449810,Room Mate Giulia, United Kingdom ,3/20/2016,10.0
350495,InterContinental Wien, United Kingdom ,10/13/2015,8.8
372873,Jumeirah Lowndes Hotel, United Arab Emirates ,4/30/2017,8.3
127922,Park Grand Paddington Court, United Arab Emirates ,12/8/2015,4.6
366389,Mercure Grand Hotel Biedermeier Wien, Ireland ,12/1/2015,7.9
63142,H tel California Champs Elys es, Qatar ,8/21/2015,9.6
446719,Hotel de France Wien, Ireland ,11/14/2016,8.8
23491,Pullman London St Pancras, United Kingdom ,8/9/2015,7.9
340760,Ambassade Hotel, United States of America ,7/17/2017,9.6
225868,Clayton Hotel Chiswick, United Kingdom ,5/3/2017,10.0
513832,Holiday Inn London Kensington, United Kingdom ,11/19/2015,7.9
250426,Hotel Verneuil Saint Germain, United Kingdom ,2/27/2017,9.6
335058,Hotel Vienna, United Kingdom ,8/19/2016,10.0
83311,The Hoxton Holborn, Ireland ,2/16/2016,9.6
372927,Jumeirah Lowndes Hotel, United Kingdom ,6/30/2016,8.8
303355,Ch teau Monfort Relais Ch teaux, Switzerland ,5/24/2016,8.8
268594,Hilton Vienna, Australia ,4/19/2017,5.4
300753,Grange City Hotel, United Kingdom ,3/13/2017,9.6
23607,Pullman London St Pancras, United Kingdom ,5/16/2017,10.0
342395,Steigenberger Hotel Herrenhof, United Kingdom ,11/19/2016,10.0
423686,Catalonia Park Putxet, United Kingdom ,3/19/2016,7.1
434792,Gallery Hotel, Panama ,7/22/2016,10.0
431842,Catalonia Eixample 1864, United Kingdom ,7/25/2016,7.1
288971,Petit Palace Boqueria Garden, United Kingdom ,12/8/2015,7.5
69219,Hilton London Euston, United Kingdom ,6/14/2017,7.5
275975,Barcelona Princess, United Kingdom ,5/18/2017,9.6
37133,Park International Hotel, Australia ,4/5/2017,10.0
511479,Hotel Erzherzog Rainer, United States of America ,6/1/2016,7.5
103606,Montfleuri, Saudi Arabia ,3/6/2017,6.7
448456,Hotel K nig von Ungarn, Czech Republic ,10/31/2016,9.6
52301,Hilton London Paddington, Thailand ,8/28/2016,5.4
452690,Best Western Plus Hotel Blue Square, United Kingdom ,6/14/2017,8.8
8125,Novotel Suites Paris Nord 18 me, Belgium ,7/24/2017,6.3
287694,Thistle Holborn The Kingsley, United Kingdom ,5/15/2016,9.6
44786,The Chamberlain, New Zealand ,8/20/2015,10.0
447523,Hotel de France Wien, Canada ,8/11/2015,10.0
43149,1K Hotel, United Kingdom ,7/23/2017,7.9
463285,The Savoy, Switzerland ,4/26/2016,10.0
95903,H tel Le M, Germany ,6/21/2016,10.0
469973,Hotel Tocq, Israel ,7/2/2017,10.0
387381,Inntel Hotels Amsterdam Centre, United Kingdom ,8/4/2015,9.2
22250,H tel Keppler, Australia ,4/5/2016,7.9
449165,Hotel Capricorno, Turkey ,3/21/2017,10.0
202180,Villa Beaumarchais, New Zealand ,11/24/2015,7.5
22535,Bradford Elys es Astotel, United Kingdom ,2/17/2017,8.8
505558,Park Plaza Westminster Bridge London, United Kingdom ,12/16/2015,10.0
13150,Hotel Panache, United Kingdom ,2/27/2017,8.3
484873,Best Western Atlantic Hotel, Australia ,5/11/2016,6.7
238826,DoubleTree by Hilton Hotel London Tower of London, United Kingdom ,2/16/2016,10.0
175226,Fielding Hotel, United Kingdom ,5/15/2017,5.0
484541,Hotel Berna, Russia ,11/8/2015,9.6
512390,Suite Hotel 900 m zur Oper, Spain ,8/28/2015,7.9
273472,Axel Hotel Barcelona Urban Spa Adults Only, United Arab Emirates ,1/2/2017,3.3
209808,Oceania Paris Porte De Versailles, United States of America ,8/24/2015,9.6
206538,Best Western Le 18 Paris, Ireland ,6/29/2017,9.6
301569,Holiday Inn London Bloomsbury, Pakistan ,3/8/2017,10.0
56458,DoubleTree by Hilton London Hyde Park, Finland ,6/28/2016,9.2
480031,Hotel Sanpi Milano, Germany ,3/25/2016,8.8
85980,Hilton London Bankside, United Arab Emirates ,1/14/2017,10.0
20221,The Ampersand Hotel, Italy ,12/18/2015,10.0
71532,Novotel Paris Centre Gare Montparnasse, Saudi Arabia ,8/6/2015,8.3
97596,citizenM London Bankside, United Kingdom ,10/27/2015,9.2
180089,H tel Concorde Montparnasse, Mauritius ,9/15/2015,3.8
347598,Room Mate Aitana, United Kingdom ,7/20/2017,10.0
354565,Hotel Schani Wien, India ,7/5/2016,7.1
440389,Hotel Espa a Ramblas, United Kingdom ,3/2/2016,10.0
382213,Eurostars Grand Marina Hotel GL, United Kingdom ,3/13/2016,8.3
394987,Sall s Hotel Pere IV, United Kingdom ,6/12/2017,5.4
418383,Grand Hotel Amr th Amsterdam, Australia ,7/27/2017,7.9
216802,Dorsett Shepherds Bush, Australia ,6/29/2016,8.8
170859,Rubens At The Palace, United Kingdom ,11/13/2016,6.3
455604,Hilton London Canary Wharf, United Kingdom ,9/10/2015,9.6
275517,The Levante Parliament A Design Hotel, Austria ,4/7/2016,9.6
394010,Hotel Grums Barcelona, Germany ,5/17/2016,7.9
122978,Rosewood London, Israel ,10/22/2015,10.0
445691,Austria Trend Hotel Park Royal Palace Vienna, United Kingdom ,3/6/2016,8.8
344971,Hilton London Kensington Hotel, Thailand ,4/17/2017,8.8
165531,Strand Palace Hotel, United Kingdom ,2/11/2016,8.8
321033,St Pancras Renaissance Hotel London, United Kingdom ,7/31/2016,10.0
394743,Sall s Hotel Pere IV, Cyprus ,5/28/2017,8.8
449577,Derag Livinghotel Kaiser Franz Joseph Vienna, Germany ,5/25/2016,7.1
435834,Hotel Lam e, United Arab Emirates ,5/4/2017,8.3
321965,DoubleTree By Hilton London Excel, United Kingdom ,8/2/2017,9.6
375083,Room Mate Carla, Brazil ,8/29/2016,10.0
200234,Novotel London Wembley, Ireland ,1/28/2016,9.2
386528,INK Hotel Amsterdam MGallery by Sofitel, United States of America ,3/31/2016,9.6
239334,H tel Baume, Lebanon ,11/10/2015,7.5
271465,Hilton Amsterdam, Netherlands ,6/14/2016,7.9
94663,The Royal Horseguards, United Kingdom ,1/8/2016,5.8
63752,H tel Hor, Australia ,9/29/2015,10.0
45061,The Chamberlain, United States of America ,5/29/2016,9.6
305005,Qualys Hotel Nasco, Romania ,2/7/2017,10.0
450489,Hotel Esther a, United Kingdom ,11/14/2016,7.9
441032,Copthorne Tara Hotel London Kensington, United Kingdom ,7/3/2017,10.0
405318,Glam Milano, Israel ,10/13/2015,9.2
472696,UNA Hotel Cusani, Ireland ,8/9/2015,10.0
171527,every hotel Piccadilly, Hungary ,8/16/2016,9.2
278805,Catalonia Atenas, United States of America ,4/13/2016,10.0
182260,Chiswick Rooms, United Kingdom ,1/24/2017,10.0
202851,Holiday Inn Paris Gare de l Est, United States of America ,3/23/2017,9.2
300230,Eurostars Monumental, Mauritius ,1/6/2017,7.5
282510,Hotel Barcelona Center, Germany ,4/20/2017,9.6
370683,25hours Hotel beim MuseumsQuartier, United Kingdom ,3/28/2017,8.8
478811,Exe Laietana Palace, United Kingdom ,9/6/2015,10.0
158387,Georgian House Hotel, United Kingdom ,5/4/2016,8.3
511850,Hotel Erzherzog Rainer, France ,12/29/2015,8.3
230849,Radisson Blu Edwardian Vanderbilt, United Kingdom ,3/28/2016,7.1
482477,Novotel Milano Linate Aeroporto, United States of America ,2/23/2016,6.7
310533,Jaz Amsterdam, Netherlands ,4/23/2017,8.3
290563,Amba Hotel Marble Arch, United Kingdom ,11/24/2015,10.0
198107,Radisson Blu Edwardian New Providence Wharf, United Kingdom ,12/17/2016,9.6
236427,DoubleTree by Hilton Hotel London Tower of London, United Kingdom ,2/6/2017,8.3
382867,Mercure Amsterdam Sloterdijk Station, United Kingdom ,7/7/2017,7.5
125527,DoubleTree by Hilton London Docklands Riverside, United Kingdom ,2/2/2016,8.3
12219,Crowne Plaza London Kings Cross, United Kingdom ,4/18/2016,8.3
180854,citizenM Tower of London, United States of America ,3/13/2017,9.6
15292,Intercontinental London The O2, United Kingdom ,11/22/2016,9.6
310226,Jaz Amsterdam, United Kingdom ,6/15/2016,10.0
256460,The Zetter Hotel, United Kingdom ,10/27/2016,10.0
169288,Hilton London Olympia, United Kingdom ,6/12/2017,10.0
139443,Holiday Inn London Camden Lock, United Kingdom ,6/21/2016,9.2
363938,Corus Hotel Hyde Park, Ireland ,7/29/2017,7.9
120163,Club Quarters Hotel St Paul s, United Kingdom ,1/29/2017,7.1
136554,Mercure Paris Montmartre Sacr Coeur, United States of America ,7/2/2016,9.6
331719,Catalonia Passeig de Gr cia 4 Sup, Spain ,9/25/2016,6.7
210628,BEST WESTERN Maitrise Hotel Maida Vale, United Kingdom ,9/25/2015,4.2
34254,H tel Diva Opera, Switzerland ,7/15/2016,8.8
231497,Radisson Blu Edwardian Vanderbilt, United Kingdom ,4/12/2016,6.7
359494,Park Plaza Vondelpark Amsterdam, Belgium ,8/16/2016,7.1
387434,Inntel Hotels Amsterdam Centre, South Korea ,5/27/2017,10.0
330663,Avenida Palace, Australia ,6/3/2016,10.0
493575,ADI Doria Grand Hotel, South Korea ,3/27/2016,9.2
369823,Hampshire Hotel Amsterdam American, United Kingdom ,12/28/2016,10.0
175309,Fielding Hotel, United Kingdom ,1/16/2017,8.3
222025,Sofitel London St James, United Kingdom ,5/20/2017,9.6
58213,M by Montcalm Shoreditch London Tech City, Germany ,4/20/2016,7.5
107291,Montcalm Royal London House City of London, United Kingdom ,12/23/2016,9.2
437794,K K Palais Hotel, United Kingdom ,9/1/2015,7.9
495806,Best Western Antares Hotel Concorde, United Arab Emirates ,3/31/2016,10.0
447513,Hotel de France Wien, Kuwait ,8/20/2015,3.8
483366,Hotel Mentana, Australia ,10/14/2015,8.3
230615,Radisson Blu Edwardian Vanderbilt, United Kingdom ,12/11/2016,7.5
11370,Crowne Plaza London Kings Cross, Australia ,7/2/2017,7.1
304286,Hotel Galileo, Bulgaria ,9/15/2016,8.3
317930,Holiday Inn London Wembley, United Kingdom ,10/16/2016,9.6
134602,Royal Saint Michel, Spain ,9/19/2015,9.6
437405,Crowne Plaza London Docklands, United Kingdom ,1/4/2016,7.1
360455,Hotel 1898, France ,8/20/2015,8.3
351810,Fleming s Selection Hotel Wien City, United Kingdom ,3/18/2017,5.8
327359,Hotel Well and Come, Russia ,2/11/2017,9.6
456450,W Amsterdam, United Kingdom ,5/3/2017,8.8
215543,Holiday Inn London Oxford Circus, United Kingdom ,7/5/2017,5.4
404413,Hotel Principe Di Savoia, United Arab Emirates ,1/19/2017,7.1
320500,St Pancras Renaissance Hotel London, Australia ,6/26/2016,9.6
71980,Novotel London Greenwich, Saudi Arabia ,11/10/2016,7.0
55576,COQ Hotel Paris, Indonesia ,8/27/2016,7.1
129715,Forest Hill Paris la Villette, Germany ,8/10/2015,9.6
300139,U232 Hotel, Poland ,5/29/2016,9.2
353547,Austria Trend Hotel Astoria Wien, Switzerland ,5/22/2017,7.1
185150,Elys es R gencia, Netherlands ,8/4/2016,7.5
345255,Hilton London Kensington Hotel, United Kingdom ,11/10/2016,7.1
199691,Hilton London Tower Bridge, United Kingdom ,6/30/2016,8.8
88568,St Ermin s Hotel Autograph Collection, Switzerland ,3/22/2016,7.5
116563,Goodenough Club, United Kingdom ,11/4/2016,9.6
182853,La Suite West Hyde Park, United Kingdom ,7/23/2017,7.1
454698,Hilton London Canary Wharf, United Kingdom ,11/30/2015,10.0
254599,Hotel 82 London, United Kingdom ,10/30/2016,7.1
15718,Intercontinental London The O2, United Kingdom ,4/21/2016,2.5
253430,The Hoxton Shoreditch, United Kingdom ,10/31/2016,10.0
359603,Park Plaza Vondelpark Amsterdam, United Kingdom ,10/20/2015,6.3
150196,Park Grand London Kensington, Turkey ,3/16/2017,3.8
233086,Gainsborough Hotel, United Kingdom ,11/10/2015,6.3
177456,Holiday Inn Paris Notre Dame, United States of America ,12/17/2016,10.0
275752,H10 Marina Barcelona, United Kingdom ,7/10/2017,7.9
288988,Petit Palace Boqueria Garden, United Kingdom ,10/30/2015,8.3
110226,Radisson Blu Portman Hotel London, Norway ,11/22/2016,7.1
341167,Ambassade Hotel, United Kingdom ,4/17/2016,9.2
143788,H tel Elysees Mermoz, United States of America ,4/5/2017,9.2
341003,Ambassade Hotel, Namibia ,6/22/2017,10.0
174918,Fielding Hotel, United Kingdom ,6/2/2017,9.2
446818,Hotel de France Wien, Thailand ,4/14/2016,7.9
